URL,Question,Option A,Option B,Option C,Option D,GT,Prompt
https://attack.mitre.org/techniques/T1556/003,"Which MITRE ATT&CK data component is primarily focused on monitoring changes to the PAM configuration and module paths, such as /etc/pam.d/?",Logon Session Creation,File Modification,Credential Access,Lateral Movement,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which MITRE ATT&CK data component is primarily focused on monitoring changes to the PAM configuration and module paths, such as /etc/pam.d/? **Options:** A) Logon Session Creation B) File Modification C) Credential Access D) Lateral Movement **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/003,"According to the provided document, what is a key weakness of PAM that adversaries can exploit?",PAM relies on outdated cryptographic algorithms.,PAM does not encrypt passwords stored in configuration files.,PAM lacks proper input validation mechanisms.,PAM allows for arbitrary code execution through malicious modules.,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** According to the provided document, what is a key weakness of PAM that adversaries can exploit? **Options:** A) PAM relies on outdated cryptographic algorithms. B) PAM does not encrypt passwords stored in configuration files. C) PAM lacks proper input validation mechanisms. D) PAM allows for arbitrary code execution through malicious modules. **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/003,Which of the following is an example of a suspicious logon session that could indicate potential PAM exploitation?,A user logs in to a system from an unexpected location.,A system is accessed during off-peak hours.,A service account is used to execute a binary on a remote system.,All of the above,D,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following is an example of a suspicious logon session that could indicate potential PAM exploitation? **Options:** A) A user logs in to a system from an unexpected location. B) A system is accessed during off-peak hours. C) A service account is used to execute a binary on a remote system. D) All of the above **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/004,Which of the following MITRE ATT&CK techniques best describes the adversary behavior of modifying the operating system image to include a specific password for access?,T1547.003 - Modify System Image,T1547.001 - Modify System Time,T1041.001 - Modify Registry,T1059.007 - Modify Authentication Process,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following MITRE ATT&CK techniques best describes the adversary behavior of modifying the operating system image to include a specific password for access? **Options:** A) T1547.003 - Modify System Image B) T1547.001 - Modify System Time C) T1041.001 - Modify Registry D) T1059.007 - Modify Authentication Process **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/004,"Within the context of MITRE ATT&CK, which of the following techniques is directly associated with the manipulation of LDAP and two-factor authentication flows?",T1547.003 - Modify System Image,T1059.007 - Modify Authentication Process,T1110 - Brute Force,T1552.001 - Steal Application Authentication Credentials,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Within the context of MITRE ATT&CK, which of the following techniques is directly associated with the manipulation of LDAP and two-factor authentication flows? **Options:** A) T1547.003 - Modify System Image B) T1059.007 - Modify Authentication Process C) T1110 - Brute Force D) T1552.001 - Steal Application Authentication Credentials **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/004,"Assuming the adversary utilizes the ""SYNful Knock"" technique, which of the following MITRE ATT&CK tactics would be most relevant?",Command and Control,Credential Access,Defense Evasion,Discovery,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Assuming the adversary utilizes the ""SYNful Knock"" technique, which of the following MITRE ATT&CK tactics would be most relevant? **Options:** A) Command and Control B) Credential Access C) Defense Evasion D) Discovery **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/004,"Considering the ""SLOWPULSE"" technique, which data component within MITRE ATT&CK would be the most appropriate for detection of this behavior?",Network,Process,File,Registry,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Considering the ""SLOWPULSE"" technique, which data component within MITRE ATT&CK would be the most appropriate for detection of this behavior? **Options:** A) Network B) Process C) File D) Registry **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/004,"Given the scenario of adversaries utilizing ""SYNful Knock"", which of the following detection methods would be most effective, based on the provided information?",Network traffic analysis for unusual connections,Monitoring system logs for authentication failures,Analyzing file checksums for changes to the operating system image,Investigating user activity for suspicious login attempts,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Given the scenario of adversaries utilizing ""SYNful Knock"", which of the following detection methods would be most effective, based on the provided information? **Options:** A) Network traffic analysis for unusual connections B) Monitoring system logs for authentication failures C) Analyzing file checksums for changes to the operating system image D) Investigating user activity for suspicious login attempts **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/005,Which MITRE ATT&CK technique ID and name does the document describe?,T1192 - Credential Dumping,T1552 - Steal or Forge Kerberos Tickets,T1003 - OS Credential Dumping,T1087 - Account Discovery,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which MITRE ATT&CK technique ID and name does the document describe? **Options:** A) T1192 - Credential Dumping B) T1552 - Steal or Forge Kerberos Tickets C) T1003 - OS Credential Dumping D) T1087 - Account Discovery **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/005,"Within the context of MITRE ATT&CK for Enterprise, which of the following components is NOT required to decrypt the encrypted password value?",G$RADIUSCHAP,G$RADIUSCHAPKEY,Global LSA Secret,RASSFM.DLL,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Within the context of MITRE ATT&CK for Enterprise, which of the following components is NOT required to decrypt the encrypted password value? **Options:** A) G$RADIUSCHAP B) G$RADIUSCHAPKEY C) Global LSA Secret D) RASSFM.DLL **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/005,An adversary attempting to abuse the AllowReversiblePasswordEncryption property in Active Directory is most likely attempting to achieve which MITRE ATT&CK tactic?,Credential Access,Persistence,Lateral Movement,Defense Evasion,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** An adversary attempting to abuse the AllowReversiblePasswordEncryption property in Active Directory is most likely attempting to achieve which MITRE ATT&CK tactic? **Options:** A) Credential Access B) Persistence C) Lateral Movement D) Defense Evasion **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/005,Which of the following techniques is NOT a recommended mitigation for mitigating the threat described in the document?,Implement and apply Fine-Grained Password Policies to restrict access to user account properties,Enable the AllowReversiblePasswordEncryption property on a limited number of user accounts,Monitor property changes in Group Policy related to password policy settings,Regularly audit user accounts and group settings,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following techniques is NOT a recommended mitigation for mitigating the threat described in the document? **Options:** A) Implement and apply Fine-Grained Password Policies to restrict access to user account properties B) Enable the AllowReversiblePasswordEncryption property on a limited number of user accounts C) Monitor property changes in Group Policy related to password policy settings D) Regularly audit user accounts and group settings **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/005,Which of the following is NOT a potential location where an adversary might set the AllowReversiblePasswordEncryption property?,Local Group Policy Editor,User properties,System Registry Settings,Fine-Grained Password Policy,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following is NOT a potential location where an adversary might set the AllowReversiblePasswordEncryption property? **Options:** A) Local Group Policy Editor B) User properties C) System Registry Settings D) Fine-Grained Password Policy **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/006,Which technique can an adversary use to disable MFA for a specific user account in Azure Active Directory (Azure AD)?,T1550.003 -  Modify Authentication Process,T1078.002 -  Valid Accounts,T1135 -  Control Account,T1552.003 -  Modify Authentication Process,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which technique can an adversary use to disable MFA for a specific user account in Azure Active Directory (Azure AD)? **Options:** A) T1550.003 -Modify Authentication Process B) T1078.002 -Valid Accounts C) T1135 -Control Account D) T1552.003 -Modify Authentication Process **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/006,"According to the provided text, which of the following actions should be monitored to detect attempts to disable MFA globally in an Okta environment?",system.mfa.factor.reset_all,system.mfa.factor.activate,system.mfa.factor.deactivate,user.mfa.factor.reset_all,D,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** According to the provided text, which of the following actions should be monitored to detect attempts to disable MFA globally in an Okta environment? **Options:** A) system.mfa.factor.reset_all B) system.mfa.factor.activate C) system.mfa.factor.deactivate D) user.mfa.factor.reset_all **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/006,Which of the following MITRE ATT&CK techniques is used by Scattered Spider to bypass MFA after compromising user accounts?,T1078.002 -  Valid Accounts,T1552.003 -  Modify Authentication Process,T1135 -  Control Account,T1550.003 -  Modify Authentication Process,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following MITRE ATT&CK techniques is used by Scattered Spider to bypass MFA after compromising user accounts? **Options:** A) T1078.002 -Valid Accounts B) T1552.003 -Modify Authentication Process C) T1135 -Control Account D) T1550.003 -Modify Authentication Process **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/006,"In the context of MFA bypass, what does ""fail open"" refer to?",Granting access even if MFA fails due to technical errors.,Denying access if MFA fails.,Disabling MFA for all accounts in a specific domain.,Modifying the MFA configuration to allow unauthorized access.,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** In the context of MFA bypass, what does ""fail open"" refer to? **Options:** A) Granting access even if MFA fails due to technical errors. B) Denying access if MFA fails. C) Disabling MFA for all accounts in a specific domain. D) Modifying the MFA configuration to allow unauthorized access. **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/006,Which of the following MITRE ATT&CK tactics is most relevant to the described scenario of adversaries disabling or modifying MFA?,Defense Evasion,Credential Access,Persistence,Lateral Movement,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following MITRE ATT&CK tactics is most relevant to the described scenario of adversaries disabling or modifying MFA? **Options:** A) Defense Evasion B) Credential Access C) Persistence D) Lateral Movement **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/007,"What technique is used in AADInternals, a tool that backdoors Azure AD Pass-Through Authentication by injecting a malicious DLL into the AzureADConnectAuthenticationAgentService process, according to the provided document?",T1134,T1136,T1547.001,T1548.002,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What technique is used in AADInternals, a tool that backdoors Azure AD Pass-Through Authentication by injecting a malicious DLL into the AzureADConnectAuthenticationAgentService process, according to the provided document? **Options:** A) T1134 B) T1136 C) T1547.001 D) T1548.002 **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/007,"What is the primary objective of the adversary in the scenario described for APT29, according to the provided document?",To obtain a persistent foothold in an Azure AD tenant,To steal sensitive data from a cloud-based database,To disable MFA for specific users,To disrupt network connectivity for critical services,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What is the primary objective of the adversary in the scenario described for APT29, according to the provided document? **Options:** A) To obtain a persistent foothold in an Azure AD tenant B) To steal sensitive data from a cloud-based database C) To disable MFA for specific users D) To disrupt network connectivity for critical services **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/007,Which of the following is NOT a recommended mitigation strategy to address the security concerns highlighted in the document regarding hybrid identity authentication?,Auditing PTA agent servers for the creation of unauthorized DLLs,Monitoring for modifications to the Microsoft.IdentityServer.Servicehost configuration file,Enabling multi-factor authentication (MFA) for all users,Limiting the number of Azure AD Global Administrator accounts,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following is NOT a recommended mitigation strategy to address the security concerns highlighted in the document regarding hybrid identity authentication? **Options:** A) Auditing PTA agent servers for the creation of unauthorized DLLs B) Monitoring for modifications to the Microsoft.IdentityServer.Servicehost configuration file C) Enabling multi-factor authentication (MFA) for all users D) Limiting the number of Azure AD Global Administrator accounts **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/007,"According to the provided document, what is the MITRE ATT&CK technique associated with the use of event ID 501 in AD FS logs to identify unauthorized claims in the environment?",T1547,T1078,T1083,T1543,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** According to the provided document, what is the MITRE ATT&CK technique associated with the use of event ID 501 in AD FS logs to identify unauthorized claims in the environment? **Options:** A) T1547 B) T1078 C) T1083 D) T1543 **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/007,"What is the specific data source component that is used to detect suspicious modifications of files associated with hybrid identity authentication processes, such as configuration files, according to the provided document?",Application Log,File,Logon Session,Module,B,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What is the specific data source component that is used to detect suspicious modifications of files associated with hybrid identity authentication processes, such as configuration files, according to the provided document? **Options:** A) Application Log B) File C) Logon Session D) Module **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/008,What MITRE ATT&CK technique is associated with the adversary registering a malicious network provider DLL to capture cleartext user credentials?,T1135,T1550.003,T1550.002,T1546.003,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** What MITRE ATT&CK technique is associated with the adversary registering a malicious network provider DLL to capture cleartext user credentials? **Options:** A) T1135 B) T1550.003 C) T1550.002 D) T1546.003 **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/008,"According to the document, what is the name of the Windows process that sends credentials to the localmpnotify.exe process via RPC?",Winlogon,lsass,svchost,explorer.exe,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** According to the document, what is the name of the Windows process that sends credentials to the localmpnotify.exe process via RPC? **Options:** A) Winlogon B) lsass C) svchost D) explorer.exe **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/008,Which of the following Registry keys should be monitored for changes related to network provider configurations?,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\<NetworkProviderName>\NetworkProvider,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager,A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following Registry keys should be monitored for changes related to network provider configurations? **Options:** A) HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\<NetworkProviderName>\NetworkProvider B) HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run C) HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run D) HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/008,Which of the following options is a potential mitigation for this attack vector?,Restricting permissions to the NetworkProvider registry key,Enabling the EnableMPRNotifications policy,Disabling the Local Security Authority Subsystem Service (LSASS),Installing a network intrusion detection system (NIDS),A,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following options is a potential mitigation for this attack vector? **Options:** A) Restricting permissions to the NetworkProvider registry key B) Enabling the EnableMPRNotifications policy C) Disabling the Local Security Authority Subsystem Service (LSASS) D) Installing a network intrusion detection system (NIDS) **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/009,"Which of the following techniques, according to MITRE ATT&CK, describes an adversary's attempt to disable or modify conditional access policies to gain persistent access to compromised accounts?",T1553.001 - Modify Authentication/Authorization Process,T1553.002 - Abuse Authorization,T1059.003 -  Account Manipulation,T1135 -  Account Discovery,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** Which of the following techniques, according to MITRE ATT&CK, describes an adversary's attempt to disable or modify conditional access policies to gain persistent access to compromised accounts? **Options:** A) T1553.001 - Modify Authentication/Authorization Process B) T1553.002 - Abuse Authorization C) T1059.003 -Account Manipulation D) T1135 -Account Discovery **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
https://attack.mitre.org/techniques/T1556/009,"According to the provided text, what is a potential mitigation strategy for the technique described?",Disable account access for all users.,Disable multi-factor authentication for compromised accounts.,Limit permissions to modify conditional access policies to only those required.,Implement a system that requires all users to use a unique password.,C,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. **Question:** According to the provided text, what is a potential mitigation strategy for the technique described? **Options:** A) Disable account access for all users. B) Disable multi-factor authentication for compromised accounts. C) Limit permissions to modify conditional access policies to only those required. D) Implement a system that requires all users to use a unique password. **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text."
