Question	GT
"In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type ""\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?"	A
"Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?"	A
Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?	A
What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?	D
"In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?"	D
Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?	B
What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?	B
"According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?"	B
Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?	C
Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?	D
Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence?	C
Which group has been known to add an entry to the rc.common file for persistence?	C
What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file?	C
Which mitigation is recommended for restricting write access to network logon scripts?	C
What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?	D
What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?	B
Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?	B
"According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?"	D
"Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?"	B
Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?	B
Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?	C
Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?	D
Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?	C
"In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?"	A
Which tactic does MITRE ATT&CK technique T1550.001 pertain to?	A
What is the primary purpose of application access tokens as described in T1550.001?	B
Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?	C
Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?	A
"According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?"	C
What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?	B
Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?	A
How does 'Overpass the Hash' differ from 'Pass the Hash'?	B
What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?	B
Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?	C
Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?	C
Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?	A
"According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?"	D
Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?	B
"Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?"	A
"Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?"	D
"During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?"	C
Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited?	D
What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations?	B
What file types are specifically recommended to be blocked in transit as a part of web-based content restriction?	C
"In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?"	C
Which data source can be monitored for detecting file creation events to identify malicious activity under MITRE ATT&CK technique T1204.002?	D
"In the ATT&CK pattern T1204.002, which cyber threat group has utilized malicious Microsoft Word and PDF attachments sent via spearphishing?"	D
Which of the following mitigation strategies involves the use of digital signatures to ensure the integrity and publisher of specific image tags?	B
What is one of the primary strategies adversaries use in the T1204.003 technique to increase the likelihood of users deploying their malicious images?	C
Which data source would be most effective in detecting the creation of new containers from potentially malicious images?	D
Which of the following is a mitigation strategy for SID-History Injection according to the MITRE ATT&CK framework?	C
Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?	B
"Based on T1078.001 Valid Accounts: Default Accounts, what is a recommended mitigation strategy to protect against the use of default credentials?"	C
Which technique ID corresponds with adversaries abusing domain accounts?	A
Which detection method involves monitoring remote desktop logons and comparing them to known/approved originating systems to detect lateral movement?	B
Which adversary group is known to use legitimate account credentials to move laterally through compromised environments?	A
Which mitigation involves integrating multi-factor authentication (MFA) as part of organizational policy?	D
What active event code should be monitored in Windows to track Security Logs for user login behaviors?	B
Which adversary group leveraged valid accounts to deploy malware by obtaining highly privileged credentials such as domain administrator?	A
Which of the following threat actors have been known to use local accounts for lateral movement during the SolarWinds Compromise?	A
APT32 is known to use which type of account for their operations according to the examples?	D
Which mitigation involves the implementation of LAPS to prevent the reuse of local administrator credentials?	A
What data source should be monitored to detect multiple accounts logging into the same machine simultaneously?	A
Which malware is specifically noted to record the user's webcam in macOS according to the technique ID T1125 - Video Capture?	A
Which data source and component combination is suggested for detecting the technique T1125 - Video Capture?	C
How does the technique T1125 - Video Capture differ from Screen Capture in terms of execution?	B
Which malware utilizes a custom video recording capability to monitor operations in the victim's environment?	B
What is a common method used by adversaries to evade detection in sandbox environments according to T1497?	A
"Which of the following malware samples is known to perform system checks to determine if the environment is running on VMware, as part of the technique T1497?"	C
How can adversaries use sleep timers or loops in the context of Virtualization/Sandbox Evasion (T1497)?	C
"During Operation Spalax, what technique did threat actors use to evade anti-analysis checks?"	B
Which of the following is a detection source for identifying Virtualization/Sandbox Evasion (T1497) tactics?	C
What technique ID corresponds to Virtualization/Sandbox Evasion: System Checks?	A
Which of the following data sources can be monitored to detect commands that may employ virtualization/sandbox evasion techniques?	C
What behavior might Astaroth (S0373) use to evade virtualized environments?	C
Which of these malware samples checks the amount of physical memory to determine if it is being executed in a virtual environment?	D
Which tool did Lazarus Group use during Operation Dream Job for VM/sandbox detection?	D
Which malware is known to use the speed and frequency of mouse movements to determine if a real user is present on the system?	B
"In MITRE ATT&CK technique T1497.002, what kind of user activity might adversaries rely on before activating malicious code?"	C
What data source and component can be monitored to detect actions related to API calls meant for virtualization and sandbox evasion?	C
Which of the following groups uses a loader that executes the payload only after a specific user action to avoid virtualized environments?	D
Which technique is commonly referred to as API hammering?	D
Which procedure example uses NtDelayExecution for pausing execution?	A
How does EvilBunny identify a sandbox through time-based evasion?	D
Which of the following employs a 30-minute delay after execution to evade sandbox monitoring tools?	C
How does Clop avoid sandbox detection?	C
Which data component should be monitored to detect unexpected deletions of user accounts associated with T1531 (Account Access Removal) under the tactic of Impact?	D
Which procedure example under T1531 involves adversaries deleting administrator accounts prior to encryption?	C
"When adversaries use the T1531 technique on Windows platforms, which PowerShell cmdlet might they use?"	B
"In the context of MITRE ATT&CK Technique T1600.001 for Enterprise, which of the following activities could an adversary manipulate to facilitate decryption of data?"	B
"Regarding detection for the MITRE ATT&CK Technique T1600.001 (Weaken Encryption: Reduce Key Space) on Enterprise platforms, which method can potentially identify this behavior?"	C
Adversaries using T1102.001: Web Service: Dead Drop Resolver often utilize popular websites and social media platforms to host C2 information. What is one reason this tactic is effective?	B
"Which threat group is known to use multiple tech community forums to frequently update dead drop resolvers for their KEYPLUG Windows-version backdoor, according to T1102.001?"	A
"In the context of technique T1102.001: Web Service: Dead Drop Resolver, which mitigation strategy involves using network signatures to identify and block adversary malware?"	B
"Given the detection strategy for T1102.001: Web Service: Dead Drop Resolver, which data source focuses on detecting network traffic that does not follow expected protocol standards and traffic flows?"	A
Which malware is known to use Microsoft's TechNet Web portal for obtaining dead drop resolvers according to T1102.001?	D.
Which MITRE ATT&CK tactic does Technique ID T1102.002 belong to?	A
What is a common method used by adversaries for outbound traffic in Technique ID T1102.002?	A
"In the provided examples, which adversary group uses Google Drive for command and control according to Technique ID T1102.002?"	C
Which of the following mitigations would be most effective against Technique ID T1102.002?	A
Which adversary uses RSS feeds among their C2 communication channels as per the examples listed in Technique ID T1102.002?	B
"In the context of detection for Technique ID T1102.002, what should be monitored to detect anomalous communications?"	D
Adversaries using the MITRE ATT&CK technique T1102.003 may utilize which of the following methods for C2 communication?	B
"In the MITRE ATT&CK framework, which technique (ID: T1047) is used by adversaries to abuse Windows Management Instrumentation for command execution?"	B
"During the 2016 Ukraine Electric Power Attack, how did adversaries employ WMI (ID: T1047)?"	C
Which of the following ports does WMI use for Remote WMI over WinRM operations?	B
What mitigation strategy involves using Windows Defender Application Control (WDAC) policy rules to block the execution of wmic.exe on Windows 10 and Windows Server 2016?	B
Which threat group (ID: G0016) used WMI to steal credentials and execute backdoors at a future time?	D
"In the LATACH G framework, which group has been attributed to the use of ransomware from a batch file in a network share?"	C
What is the main focus of the mitigation ID M1022 in the provided text?	B
"What data source ID should be monitored for unexpected and abnormal accesses to network shares, according to the provided document?"	C
Which of the following Linux commands can be used by adversaries to gather the current time on a Linux device?	C
Which of the following tactics does MITRE ATT&CK technique T1124 align with?	A
Which of the following procedures can specifically determine the System UPTIME?	C
Which data source can help detect an adversary performing System Time Discovery on a Windows platform?	C
"For the technique T1124, which command can adversaries use on a macOS system to gather the current time zone information?"	B
"In the context of MITRE ATT&CK for Enterprise, which of the following adversarial groups has used a custom MBR wiper named BOOTWRECK to initiate a system reboot?"	A
Which MITRE ATT&CK T1529 adversary behavior example involves a delay before rebooting the system?	C
For which platform does the MITRE ATT&CK technique T1529 apply and why is it challenging to mitigate with preventive controls?	A
Which technique is identified as T1087 in the MITRE ATT&CK framework?	B
Which of the following mitigation strategies helps prevent enumerating administrator accounts through UAC elevation?	B
"During the SolarWinds Compromise, which tool did APT29 use to get a list of users and their roles from an Exchange server?"	B
Which data source and component should be combined to detect file access operations related to user account listings?	B
"Under the MITRE ATT&CK framework for Enterprise, which mitigation can help prevent adversaries from creating or interacting with system services using a lower permission level?"	D
"Regarding MITRE ATT&CK Technique T1569 (System Services), which detection method involves observing for command line invocations of tools capable of modifying services?"	B
"According to MITRE ATT&CK, which adversary group has been known to create system services to execute cryptocurrency mining software?"	D
"In the context of MITRE ATT&CK for Enterprise, which command can be used to discover Windows services?"	B
"Which threat actor is known for using the command net start to discover system services, according to the MITRE ATT&CK pattern for System Service Discovery (T1007)?"	A
"During detection, which of the following API calls should be monitored for System Service Discovery (T1007)?"	B
Which data source should be monitored to detect the execution of commands that gather system service information for System Service Discovery (T1007)?	C
Which threat actor has specifically attempted to discover services for third-party EDR products according to the MITRE ATT&CK technique T1007?	B
"According to MITRE ATT&CK, what might adversaries use System Service Discovery information for in post-exploitation activities (T1007)?"	B
"Which of the following mitigations aligns with MITRE ATT&CK ID T1216, System Script Proxy Execution, and involves blocking specific signed scripts that are deemed unnecessary in an environment?"	C
Which command is used on macOS to enumerate user accounts excluding system accounts?	C
Which utility is commonly used on Linux to identify currently logged in users?	A
Which technique does the ID T1033 pertain to in the MITRE ATT&CK framework?	C
"In the context of T1033 on an Enterprise platform, which command can be executed to determine the identity of the current user on a Windows system?"	D
Which adversary group used the whoami command and WMIEXEC utility to identify usernames on remote machines according to T1033?	B
Which of the following mitigations is associated with Behavior Prevention on Endpoint in relation to MITRE ATT&CK technique T1216.001 ?â?â?é?ö?â?â?é?ç?â?â?é?? System Script Proxy Execution: PubPrn?	B
Which data sources are recommended for monitoring the use of PubPrn.vbs according to MITRE ATT&CK technique T1216.001 ?â?â?é?ö?â?â?é?ç?â?â?é?? System Script Proxy Execution: PubPrn?	B
Which MITRE ATT&CK tactic does the technique T1216.002: System Script Proxy Execution: SyncAppvPublishingServer primarily fall under?	C
"Which command-line tool is typically associated with the execution of SyncAppvPublishingServer.vbs, as per the MITRE ATT&CK technique T1216.002?"	B
"In the context of MITRE ATT&CK, which procedure example involved using the command ""net use"" as part of network connections discovery?"	C
Which cyber threat actor used the MAPMAKER tool to print active TCP connections on a local system according to T1049?	A
"Under MITRE ATT&CK T1049, which group employed a PowerShell script called RDPConnectionParser for network information from RDP connections?"	A
"What technique ID and name does MITRE ATT&CK assign to ""System Network Connections Discovery""?"	C
"Which group used both the ""netstat -ano"" command and the HIGHNOON malware variant for enumerating active RDP sessions?"	C
"In the detection process for T1049, which data source is NOT specified for monitoring executed commands and arguments?"	D
Which command can be used on a Windows system to enumerate Wi-Fi network names through the command line?	C
"On macOS, which command requires an admin username/password to retrieve the password of a known Wi-Fi network?"	D
Which technique was used by Threat Group-3390 to conduct internal discovery of systems?	B
"Which of the following groups used the command ""net localgroup administrators"" to enumerate administrative users?"	A
What type of monitoring would detect the command ?â?â?é?ö?â?â?é?ç?â?é?é?únet user?â?â?é?ö?â?â?é?ç?â?â?é?ÿ being executed in a sequence on a Windows environment?	D
What mitigation can be used to prevent the enumeration of administrator accounts during UAC elevation?	D
Which detection mechanism would be appropriate for finding unauthorized access to the /etc/passwd file in a Linux environment?	B
What registry key does Ryuk query to detect system language?	A
Which malware attempts to identify Japanese keyboards via the Windows API call GetKeyboardType?	D
How does SynAck handle the situation when a language match is found during its checks?	C
Which MITRE ATT&CK Data Source should be monitored to detect system language discovery through API calls?	D
"During ""Operation Dream Job,"" which region's languages were excluded by malware?"	A
Which specific API call can be utilized by adversaries to collect the number of processors on a Windows machine (MITRE ATT&CK T1082)?	D
"What kind of data would adversaries likely gather via authenticated API calls in AWS, GCP, and Azure within an IaaS environment (MITRE ATT&CK T1082)?"	C
"Which network device command might adversaries use to obtain system information, particularly version details (MITRE ATT&CK T1082)?"	C
Which detection method could be employed to effectively identify attempts to gather system information via command executions on network devices (MITRE ATT&CK T1082)?	C
Which tool mentioned in the document can gather detailed system information specifically on Windows systems including OS version and patches (MITRE ATT&CK T1082)?	C
Which MITRE ATT&CK technique T1552 involves adversaries finding and obtaining insecurely stored credentials?	B
"In the examples provided, which malware uses NetPass to recover passwords?"	D
Which mitigation involves actively searching for files containing passwords or credentials to reduce exposure risk?	C
Which data component specifically involves monitoring command execution to detect potential adversary activity related to finding passwords?	B
Which mitigation strategy is suggested to store keys on separate cryptographic hardware rather than the local system?	C
Which MITRE ATT&CK technique involves using trusted third-party relationships to gain initial access to a victim's network?	D
"Which group, as per the procedure examples, has breached managed service providers to deliver malware to their customers?"	C
What mitigation technique recommends requiring Multi-factor Authentication (MFA) for delegated administrator accounts to prevent abuse in trusted relationships?	B
"To detect adversarial activities involving trusted relationships, what should be monitored in application logs based on MITRE's detection guidance?"	B
"What data source can help detect unauthorized network traffic patterns from a trusted entity, as per the MITRE ATT&CK detection guidance?"	A
"When considering the MITRE ATT&CK technique T1537: Transfer Data to Cloud Account, which mitigation strategy involves preventing and blocking sensitive data from being shared with external entities?"	A
"For monitoring anomalous file transfer activity between accounts within the same cloud provider, which data source is most relevant according to the MITRE ATT&CK technique T1537: Transfer Data to Cloud Account?"	C
The technique T1537: Transfer Data to Cloud Account can be mitigated by configuring appropriate data sharing restrictions. Which of the following mitigation ID and name pairs corresponds to this strategy?	A
"According to the MITRE ATT&CK technique T1537: Transfer Data to Cloud Account, what application log event name might you monitor for in Microsoft 365 to detect inappropriate data sharing?"	A
"In the context of MITRE ATT&CK for Enterprise, what is the primary purpose of utilizing 'Trusted Developer Utilities Proxy Execution' (T1127)?"	B
Which data source is recommended for detecting abnormal uses of developer utilities under MITRE ATT&CK's detection strategy for T1127 on an enterprise platform?	C
"Under the mitigation tactics for MITRE ATT&CK's T1127 technique, which method is not suggested as a proactive countermeasure?"	D
"Given the technique T1205 - Traffic Signaling, in which scenario might an adversary use this technique?"	B
"For the Traffic Signaling technique (T1205), which library can be used to sniff signal packets?"	B
"When adversaries use Traffic Signaling on embedded devices, which prerequisite condition must be met?"	B
What method does the malware Chaos use when implementing Traffic Signaling?	B
Which detection method can help identify hidden command and control traffic following Traffic Signaling (T1205)?	B
"Based on the MITRE ATT&CK technique T1218.015 for Enterprise, which of the following practices is a recommended mitigation to prevent the abuse of Electron applications?"	B
"MITRE ATT&CK's technique T1218.015 for Electron applications uses which of the following components to display the web content and execute back-end code, respectively?"	C
Which of the following mitigations is recommended to prevent the misuse of MMC within an environment?	D
What data source(s) should be monitored to detect the malicious use of MMC according to MITRE ATT&CK?	D
Which of the following describes a potential mitigation for T1218.013 (System Binary Proxy Execution: Mavinject) on an Enterprise platform?	B
Which data source and component can be used to detect malicious usage of mavinject.exe related to T1218.013 on an Enterprise platform?	B
What primary MITRE ATT&CK tactic corresponds to the ID T1087.002?	C
Which PowerShell cmdlet mentioned in T1087.002 can be used to enumerate members of Active Directory groups?	D
What command on MacOS can be used for domain account discovery according to T1087.002?	C
Which adversary group used built-in net commands to enumerate domain administrator users as per the examples provided?	D
"Which tool listed in the document can be used to collect information about domain users, including identification of domain admin accounts?"	C
"In the document, what mitigation ID involves preventing administrator accounts from being enumerated during elevation?"	C
What is the primary purpose of verclsid.exe according to MITRE ATT&CK Technique T1218.012?	A
Which of the following mitigations is recommended by MITRE ATT&CK for preventing the misuse of verclsid.exe (T1218.012)?	C
Which data sources should be monitored to detect the misuse of verclsid.exe as per the MITRE ATT&CK technique T1218.012?	C
Which function can rundll32.exe use to execute Control Panel Item files through an undocumented shell32.dll function?	A
During which notable cyberattack was rundll32.exe used to execute a supplied DLL as described in MITRE ATT&CK T1218.011?	B
"According to MITRE ATT&CK T1218.011, what is a common tactic used by adversaries to obscure malicious code when using rundll32.exe?"	B
"Which data source and data component are most relevant for detecting rundll32.exe abuses, as mentioned in the detection section of MITRE ATT&CK T1218.011?"	B
What is the technique ID associated with ?â?â?é?ö?â?â?é?ç?â?é?é?úSystem Binary Proxy Execution: Regsvr32?â?â?é?ö?â?â?é?ç?â?â?é?ÿ?	A
Which detection method can identify the origin and purpose of the DLL being loaded by regsvr32.exe?	B
Which mitigation technique involves using Microsoft?â?â?é?ö?â?â?é?ç?â?â?é?ûs EMET (Exploit Protection)?	B
What command-line argument does the Analytic 2 detection method look for in regsvr32.exe process creation events?	A
Which mitigation strategy mentioned is most specific to preventing misuse of Regsvcs.exe and Regasm.exe in T1218.009 for Defense Evasion?	A
Which cyber threat group has been documented using odbcconf.exe for executing malicious DLL files?	B
What is one mitigation strategy recommended for countering the threat posed by the misuse of odbcconf.exe?	C
Which procedure uses msiexec.exe to disable security tools on the system?	C
Which mitigation strategy aims to prevent elevated execution of Windows Installer packages by disabling the AlwaysInstallElevated policy?	D
Which data component would be most helpful in determining the origin and purpose of MSI files or DLLs executed using msiexec.exe?	A
In what scenario might msiexec.exe execution be elevated to SYSTEM privileges?	C
"Under the MITRE ATT&CK framework, which MITRE ID corresponds to 'System Binary Proxy Execution: Mshta'?"	B
What mitigation technique suggests blocking the execution of mshta.exe if it?â?â?é?ö?â?â?é?ç?â?â?é?ûs not necessary for the environment?	B
Why might mshta.exe be considered a threat in terms of Defense Evasion?	C
Which data source ID would you use to monitor the execution and arguments of mshta.exe?	C
"Which of the following groups has used InstallUtil.exe to disable Windows Defender, according to the provided document?"	B
"According to the document, what mitigation technique (ID and Name) is suggested to prevent potential misuse of InstallUtil.exe by blocking its execution if not required for a given system or network?"	B
"For monitoring the use of InstallUtil.exe, which data source and component are specified to detect anomalous activity through examining recent invocations and their arguments?"	B
Which group used CMSTP.exe to bypass AppLocker and launch a malicious script as specified in MITRE ATT&CK technique T1218.003?	C
What legitimate use does CMSTP.exe have according to its description in MITRE ATT&CK technique T1218.003?	C
What is a recommended mitigation for preventing the misuse of CMSTP.exe as indicated in MITRE ATT&CK technique T1218.003?	C
"According to MITRE ATT&CK, what Event ID is particularly useful for detecting the abuse of CMSTP.exe through PowerShell script blocks?"	A
What adversary technique involves abusing control.exe for defense evasion?	D
How can Control Panel items be executed according to MITRE ATT&CK T1218.002?	C
Which mitigation strategy suggested for T1218.002 involves blocking potentially malicious .cpl files?	C
Which of the following is NOT a data source mentioned for detecting T1218.002 activity?	A
"According to the MITRE ATT&CK framework, which registry keys can be used to inventory Control Panel items?"	D
Which example from MITRE ATT&CK utilizes Control Panel files (CPL) delivered via email?	C
"In the context of MITRE ATT&CK for Enterprise, which of the following tools can use PowerShell to discover email accounts as per T1087.003 Account Discovery: Email Account?"	A
Which technique can be used in Google Workspace to enable Microsoft Outlook users to access the Global Address List (GAL) according to T1087.003 Account Discovery: Email Account?	B
What is the primary tactic behind the use of Compiled HTML File according to MITRE ATT&CK (ID: T1218.001)?	D
Which adversary group is known to have leveraged Compiled HTML files to download and run an executable?	A
One method to detect the use of malicious CHM files is to monitor which of the following data components?	B
Which mitigation strategy can help prevent the execution of malicious CHM files?	C
"In the context of MITRE ATT&CK?â?â?é?ö?â?â?é?ç?â?â?é?ûs Defense Evasion tactic, which MITRE ID corresponds to the technique ?â?â?é?ö?â?â?é?ç?â?é?é?úSystem Binary Proxy Execution?â?â?é?ö?â?â?é?ç?â?â?é?ÿ?"	C
Which mitigation technique involves using Microsoft's EMET Attack Surface Reduction feature to block methods of using trusted binaries to bypass application control?	C
One mitigation strategy involves restricting execution of vulnerable binaries to privileged accounts. What is the MITRE ID for this mitigation?	B
Adversaries using MITRE ATT&CK technique T1195: Supply Chain Compromise on which platform would focus on compromising which of the following?	A
Which of the following mitigations is most directly related to securing the boot process in the context of MITRE ATT&CK technique T1195 on the Enterprise platform?	C
"For detecting supply chain compromises through MITRE ATT&CK technique T1195, which data source would be critical in verifying the integrity of distributed binaries?"	B
What specific mitigation strategy does M1033: Limit Software Installation recommend to protect against MITRE ATT&CK T1195: Supply Chain Compromise?	C
Which MITRE ATT&CK mitigation involves locking software dependencies to specific versions?	A
What is a recommended mitigation strategy for supply chain compromise according to MITRE ATT&CK?	C
"In the SolarWinds Compromise, which malware was designed to insert SUNBURST into software builds of the SolarWinds Orion product?"	A
"In the context of MITRE ATT&CK's Initial Access tactic, what detection method can be used for identifying potential hardware supply chain compromise (T1195.003)?"	B
Which mitigation strategy is recommended to secure against the hardware supply chain compromise described in T1195.003?	D
Adversaries may modify code signing policies in which of the following ways according to MITRE ATT&CK Technique ID T1553.006?	D
Which of the following platform-specific commands is used to disable signing policy enforcement on macOS as per MITRE ATT&CK Technique T1553.006?	A
"Based on MITRE ATT&CK Technique T1553.006, what kind of artifacts might be visible to the user if code signing policy is modified?"	A
Which adversarial group has used malware to turn off the RequireSigned feature on Windows according to MITRE ATT&CK Technique T1553.006?	D
"In the context of MITRE ATT&CK Technique T1553.006, what mitigation strategy involves using Secure Boot to prevent modifications to code signing policies?"	A
What mitigation strategy involves blocking or unregistering container file types such as .iso and .vhd at web and email gateways?	D
Which data sources should be monitored for detecting potential bypasses of the Mark-of-the-Web (MOTW) controls?	D
Which MITRE ATT&CK technique involves installing a root certificate to subvert trust controls?	B
What is a possible method for detecting root certificate installation on macOS?	C
What specific registry key can be monitored to detect root certificate installation on Windows?	B
Which of the following mitigations help prevent users from installing root certificates into their own certificate stores?	D
What is the most effective method to mitigate Adversary-in-the-Middle attacks involving fraudulent certificates?	A
What is the primary function of the Subject Interface Packages (SIPs) according to MITRE ATT&CK technique T1553.003?	B
"In the context of subverting trust controls described in MITRE ATT&CK technique T1553.003, what role does the `Dll` and `FuncName` Registry values modification play?"	B
Which mitigation strategy involves enabling application control solutions as specified in MITRE ATT&CK technique T1553.003?	A
"What event ID in CryptoAPI v2 (CAPI) logging is mentioned in MITRE ATT&CK technique T1553.003 for monitoring failed trust validation, and what additional indication does it provide?"	C
"In MITRE ATT&CK Enterprise, what command can adversaries use in Azure CLI to discover user accounts within a domain?"	C
What mitigation strategy is recommended to limit permissions to discover cloud accounts according to MITRE ATT&CK technique T1087.004?	C
In the context of MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing) on which platforms is code signing primarily used?	A
Which of the following threats utilized a stolen certificate from AI Squared to sign their samples according to MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing)?	C
"According to MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing), what tactic is this technique categorized under?"	B
"Under MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing), which adversary group used certificates from Electrum Technologies GmbH to sign their payloads?"	D
Which data source is recommended to detect suspicious activity related to MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing)?	A
"Within MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing), what specific malware family used a legally acquired certificate from Sectigo to appear legitimate?"	A
Which command can be used to remove the quarantine flag to subvert Gatekeeper?	B
Which technique has OSX/Shlayer used to bypass Gatekeeper's protection on opening a downloaded file?	B
"What is one scenario in which the quarantine flag is not set, facilitating Gatekeeper bypass?"	B
What extended attribute can be manually removed to subvert Gatekeeper checks?	C
Which file entry indicates an application does not use the quarantine flag under macOS?	A
What is the primary technique identified by MITRE ATT&CK ID T1553 for Defense Evasion?	B
Which mitigation strategy is recommended for preventing applications that haven?â?â?é?ö?â?â?é?ç?â?â?é?ût been downloaded through legitimate repositories from running?	B
Which data source is useful for detecting malicious attempts to modify trust settings through command execution?	C
"In the context of Subvert Trust Controls, what should be periodically baselined to detect malicious modifications?"	B
What mitigation technique details the management of root certificates through Windows Group Policy settings?	C
Which detection method involves examining the removal of the com.apple.quarantine flag by a user on macOS?	B
Which mitigation strategy specifically aims to ensure that containers are not running as root by default in the context of MITRE ATT&CK's scheduled task/job (T1053.007)?	D
